UniversalMessageId,Message,Day
TWITTER_7_1212448498995679232,Thats why they want open boarders...illegals to vote (albeit illegal) in the elections. They also want the illegals to be counted in the census to retain and maybe even increase seats in the House!,2020-01-01
TWITTER_2_1212447137902071808,illegals counted in census is foreign interference in our elections,2020-01-01
TWITTER_2_1212440032595922946,"Yale shocker: million illegal immigrants, X higher than Census number",2020-01-01
TWITTER_8_1212438471979216896,"Soft changes like this are why the citizenship question should be on every report, as those here illegally should NOT be counted with the citizens...The act cheapens our sovereignty, along the god given rights that come with our citizenship!",2020-01-01
TWITTER_7_1212435335789068288,Thats why California wants illegals to count in the census !!,2020-01-01
TWITTER_7_1212432986467110912,I'm sure you'll be making sure all the homeless and illegals get their census forms in....,2020-01-01
TWITTER_8_1212431452740214784,"Wait till the census, since Illegals are allowed to be counted, it would be as if nobody left. That LA Times story is just that, a story, a make-believe one.",2020-01-01
TWITTER_7_1212430779319537666,"This is the true reason as to why they wanted the citizenship question removed. She indirectly admitted it while in session, when she said they were her constituents (illegals). Yet they cant vote so how are they constituents.",2020-01-01
TWITTER_2_1212430028488634370,"California exodus could lead to state losing congressional seat, census estimates find DemOrats really fucked that state up,blow job pelosi state,that tells you what the DemOrats will do to US,Illegals,welfare,drugs,but it's all about the vote",2020-01-01
TWITTER_7_1212429545304920065,Didnt they just give licenses to illegal immigrants? Theres your population for census increase.,2020-01-01
TWITTER_2_1212429149589135366,But it scares the Hell out of the Democrats who need Illegals to vote for them! Census Test Proves Asking About Citizenship Doesn't Scare Hispanics!,2020-01-01
TWITTER_7_1212429079200161792,Illegals add democrat seats in the House of Representatives. And why they're opposed to citizenship being on the census. And against voted ID. CA would lose over seats if they only counted citizens.,2020-01-01
TWITTER_8_1212427277788536832,"WHY DEMOCRATS WANT ILLEGAL ALIENS COUNTED IN THE CENSUS: PROJECTION SHOWS FLORIDA, NORTH CAROLINA AMONG STATES THAT COULD GAIN CONGRESSIONAL SEATS AFTER ILLEGALS RESPOND TO CENSUS",2020-01-01
TWITTER_7_1212425552872837125,That's exactly why the Dems want to count illegals in this year's census.,2020-01-01
TWITTER_7_1212424589449596928,"One more thing, fellow patriots - illegals will not only vote, but - in the Census; which won't include the citizenship question, the state will either keep the status quo or receive MORE HOUSE REPS, based on Census COUNT.",2020-01-01
TWITTER_7_1212422373007167488,WANT TO KNOW A SECRET... They found another way to cheat... all those caravans of illegals will completely change apportionment based on population & give Democrats possibly new House seats.How? NO CITIZENSHIP QUESTION ON THE CENSUS!,2020-01-01
TWITTER_4_1212421027453493250,". Doesn't illegal immigration create a moral hazard for the states that allow it? Say CA brought in m illegals before the census. This would increase their electoral votes, increase their House delegation and increase their share of the federal budget.",2020-01-01
TWITTER_7_1212420193588137984,"California will lose nothing, rather they will gain seats as the liberal judges will allow illegals to fill out the Census as well as Gerrymandering.",2020-01-01
TWITTER_7_1212419853241311232,"Joseph and Mary were LEGAL CITIZENS of Judah, and they were OBEYING THE LAW by RETURNING to Bethlehem in order to LEGALLY declare themselves for the census.OPPOSITE of what ILLEGAL migrants are doing today. Also, Nazareth & Bethlehem are in the same country. Source - Bible",2020-01-01
TWITTER_7_1212417817074524161,"Thats what they are counting on, an undercount of conservatives. The Census will go on no matter what. Its imperative that everybody respond to maximize representation in the House against the illegal and unconstitutional Democrat plan to use illegal aliens to skew House seats.",2020-01-01
TWITTER_7_1212416333247320064,Signs for the census are up everywhere in Texas. Legal and illegal counted?,2020-01-01
TWITTER_7_1212415466230075393,"The real Joseph and Mary were LEGAL CITIZENS of Judah, and they were OBEYING THE LAW by RETURNING to Bethlehem in order to LEGALLY declare themselves for the census!Exact OPPOSITE of what illegal immigrants are doing today. Also,Nazareth and Bethlehem are in the same country.",2020-01-01
TWITTER_8_1212414288243167232,Tom Homan: Democrats want illegal immigrants counted in the US Census because it means more seats for them in the House...,2020-01-01
TWITTER_8_1212411869165604864,We need to boycott the census.. so the illegals being counted.. are nullified.If wants to play those games?Game On.,2020-01-01
TWITTER_8_1212410105792057346,Why do you think the fought so hard to keep the citizen question of the census. All the illegals make up for the American citizens that have left the state. We have to turn our state red in November.,2020-01-01
TWITTER_7_1212409963894759424,"To my friends in blue States CA, IL, NY, ect... This sounds like a splendiferous idea. Even out the mass of illegals turning in a But anyone not turning in a census that in a Red State is doing a disservice to this Nation.",2020-01-01
TWITTER_7_1212409905606316033,This is why the DNC Plantation in rdworldCA has been rigging the census! Adding Millions of illegals!!,2020-01-01
TWITTER_8_1212408461906104320,"As an anti-Leftist American from New York City, I plan to neglect to fill out the Census.I'll just doing my civic, patriotic bit -- I figure my non-compliance will compensate for some illegal alien who illegally gets counted.",2020-01-01
TWITTER_7_1212408144933998592,One of Californias biggest problems is ILLEGALS. Their vote does not count. They are not citizens and should not be counted in census. Period.,2020-01-01
TWITTER_8_1212406908449153024,OK last timeFact; the Census isn't asking if you're a citizen or not which IMO is WRONG. Illegals are being counted & Congressional seats are decided on those 's that should REPRESENT CITIZENSI didn't engage you I responded to your tweetYou can keep going But I'm done here.,2020-01-01
TWITTER_8_1212406391891214338,Accusing me of not understanding how the census works? Really? And I'm the toxic one?I wanted the citizenship question on the Census. To come in legally fine but illegals being represented is wrongthey shouldn't be allowed services/ jobs/welfare above our Vet's/homeless,2020-01-01
TWITTER_2_1212397378378047489,Remember people ... Democrats own this. Dirty Dems wanted to bring millions of unvetted illegals into our country so they could bump up their census populations and gain more fake blue states. They offered them OUR taxpayer $$ in benefits we dont give our own poor!VoteR,2020-01-01
TWITTER_2_1212391463222308869,"Starting today. Thanks to the changes in the census and influx of illegal aliens, blue states will gain seats in the electorial college for the election.",2020-01-01
TWITTER_8_1212388454178287618,"Great IPOT Episode: How Liberals Want To Rig Voting So Illegal Aliens Can Vote; Trump Wont Rely On Census; Constitution Only Grants CITIZENS Right to VOTE In Federal Elections, BIG SCOTUS CASE IN FEB",2020-01-01
TWITTER_7_1212388025357029377,"Nah, illegals will be counted in the census",2020-01-01
TWITTER_7_1212386252227567617,"Hey! Illegals are voting in California, why not skew the census in California's favor. Californians ignore the laws they do not like, this is a major reason the state is becoming a Third World clone. Just trying to help.",2020-01-01
TWITTER_7_1212381344472416256,"Yes, in the short term it's NOT about voting.... it about the number of Representatives in the House and the number of Electoral Votes... Both determined by the Census... illegals are counted in the Census.",2020-01-01
TWITTER_7_1212381140062887936,"There are far more than million people living in the U.S. illegally. Maybe twice that many. Democrats don't want you to know how many there really are, which is one reason they don't want the census to have a citizenship question.",2020-01-01
TWITTER_7_1212380020288708609,"Same question with the citizenship acknowledgement on the coming census. Dems want illegals counted and illegals voting. As I sit in my family room at the moment , I probably have at least four valid IDs within feet of me.",2020-01-01
TWITTER_8_1212367622479761409,Ive been warning of remapping for two years! The states are listed in the article! I trust illegals are NOT included in the census!! apple.news/ACsHy6bt7SHS_C,2020-01-01
TWITTER_7_1212365233383256064,"But you can't ask them if they're American citizens.We are being overrun by illegal invaders... who take our jobs, vote in our elections, and suck up govt benefits that hard working, taxpaying American citizens PAY FOR.It's wrong!",2020-01-01
TWITTER_7_1212365222943625216,It's almost like illegal aliens shouldn't be counted in the census... Obama's judicial appointments can suck it.,2020-01-01
TWITTER_7_1212361985339404293,I guess we see why they want to count illegal aliens in the Census now.,2020-01-01
TWITTER_8_1212359482849673217,Delay the census.We deserve to know how many immigrants are hiding out and receiving benefits in the United States illegally.Who agrees?,2020-01-01
TWITTER_8_1212301580734566400,They tried to steal our votes. Now the Census question. The most important thing people don't realize. If they count non citizens they get more house seats and federal money. Elector Theft! Open borders! More people! Census! Do not count illegals or non citizens!,2020-01-01
TWITTER_7_1212276531915100160,This is why they have fought so hard to include Illegal Aliens in the Census. I am sure they will actually add seats due to the incredibly large influx between -19.,2020-01-01
TWITTER_8_1212275721286160384,"The most important case in our life times is moving to the Supreme Court. The first of its kind ever, if won Alabama will make it unlawful for illegals to dictate federal electoral votes. A practice prohibited by US Constitution since",2020-01-01
TWITTER_7_1212271670842601473,Ah yes! That district where illegal immigrants have been given drivers licenses. I wonder what the new directives are for their participation in the census.,2020-01-01
TWITTER_8_1212271373630033921,"***We Are The News*** Patriots Are In Control Think,... ""Executive Orders""""D's Want to Block the Census, Inflate Counts of Illegals, and Erode Political Power in the",2020-01-01
TWITTER_7_1212262433995317248,"This is a push poll and plea for $$$ from the GOP. The form is formatted patterned to look like the U. S. Census form, which is illegal. If you get the imitation, turn it in to your local postmaster.",2020-01-01
TWITTER_7_1212258885186265088,Article is more or less garbage...with illegal immigrants being counted in the census California isnt going to be losing any seats. Article should also link to source report.,2020-01-01
TWITTER_8_1212254875406389248,They want all the illegals counted ! NYC better bus the homeless back in for the census.,2020-01-01
TWITTER_2_1212245381188329472,Don't let illegals in any Sanctuary city count for census or voter right. Audit the registry before Election start tomorrow.,2020-01-01
TWITTER_8_1212245068301656064,. The Supreme Court blocked the Trump administrations efforts to include an illegal citizenship question on the,2020-01-01
TWITTER_8_1212584272231579650,AOC Suffers Massive Defeat: New York may lose one House seat after CensusDemocrats are looking to redraw 's district since % Are Illegal Aliens & Only constituents donated to her campaign; & % dont like her,2020-01-01
TWITTER_8_1212584174357557248,AOC might lose her district after the census due to it having too many illegals and not enough citizens.It really starts to make sense why the Dems have been pushing so hard to try and count them. They know their demographic isnt law abiding,2020-01-01
TWITTER_7_1212583768755593216,ADOPT A SYSTEM OF PRESIDENTIAL FORM OF GOVT AND GOVERNOR IN STATE DIRECTLY ELECTED FOR TWO TERMS ONLY.HAVE ECONOMIC CENSUS FIRST AND CONFISCATE ILLEGAL PROPERTY OF POLITICIANS FIRST THEN ALL SND ENSURE MINIMUM CIVILISED EXISTENCE TO EACH NEEDY FAMILY HAVING ONE EMPLOYMENT.,2020-01-01
TWITTER_2_1212583693677674496,Exactly why Dems are fighting so hard to prevent the citizenship question from being on the census. They will lose many seats if illegals are excluded! They only win with cheating!,2020-01-01
TWITTER_4_1212582888241131521,AOC Tells Illegals To Fill Out Census Or She'll Lose House Seat via,2020-01-01
TWITTER_8_1212579829545091073,The illegal votes will be rampant in . That's why the BIG states like New York and California are in a rush to make sure they all have driver's licenses and why they blocked the census asking about legal status. I think we all know what the Democrats are trying to do.,2020-01-01
TWITTER_2_1212579741129031680,Hope so...oughta have a separate census just for ILLEGAL folks...get an accurate tally,2020-01-01
TWITTER_4_1212578859566161920,also hiring illegal aliens. Any Government entity is sure to screw the public,2020-01-01
TWITTER_2_1212576963887419392,Census Bureau Did Test of Citizenship Question. Results Prove Citizenship Question Has Zero Effect (even with illegal aliens) for responses,2020-01-01
TWITTER_8_1212574878160826368,Rumors are swirling that may issue an executive order to exclude illegals from the census.,2020-01-01
TWITTER_7_1212574660736569345,"But look at how law abiding citizens are treated. You kicked out Amazon, banned guns, treat cops like shit, gave every illegal alien a legal spot on the census, you lost valuable electoral seats, you spend more on free medical, free school and free housing for illegal immigrants,",2020-01-01
TWITTER_2_1212574192912273410,"Democrats are making comfortable for illegals to vote illegally.Census, drivers licenses, collecting voting ballots that breaks the chain of custody.",2020-01-01
TWITTER_8_1212573818113449984,"Counting illegal immigrants on the census gives California more house seats & electoral votes. If this isnt foreign influence on our elections, I dont know what it. Dems would never hold the house without illegals, they dont even need to vote to impact elections.",2020-01-01
TWITTER_8_1212565251138490369,Illegals should never be counted in our census!,2020-01-01
TWITTER_7_1212565226480123904,"More important is the fact that the Census Bureau has admitted they will be discriminatory in hiring census takes so Illegal Aliens will be more comfortable in being counted. This guarantees more Democrats in AOC's district, and more Democrat votes in November.",2020-01-01
TWITTER_7_1212564734949462016,Take it the dead and illegals voting and he will win by a large margin. That's why dems fight against any voter id. Or census question. You know it,2020-01-01
TWITTER_2_1212562556293976072,If all the illegal aliens where deported I wonder how meany house seats CA and NY would lose?,2020-01-01
TWITTER_4_1212561774970576896,"AOC WOULD LOSE HER HOUSE SEAT, Census Would Eliminate non-citizens Voted in . TO COUNTER LOSE, NY DEMS GIVE AWAY DRIVER LICENCE TO ILLEGALS TO ENCOURAGE ""FOUL VOTE"", TO 'STEAL ELECTION' via",2020-01-01
TWITTER_7_1212561403464372225,The demturds/leftist/communist in California will just make sure they import more illegal aliens in to the stat before the U.S. census.,2020-01-01
TWITTER_8_1212561053059616770,"Doesn't this mean that she was illegally voted in to begin withThe Census is coming, which means that over a quarter of those living in Ocasio-Cortezs district are illegal immigrants with no legal right to live in",2020-01-01
TWITTER_7_1212561007773704193,"I'm all for that, but what's to keep an illegal fromfilling out a census as 'citizen'? We gonna check20 million census records?",2020-01-01
TWITTER_8_1212556685425946624,"So progressives were wrong, wrong, wrong, wrong, wrong, and wrong....but they were right on the key argument that the administration's move to include the citizenship question was illegal.",2020-01-01
TWITTER_7_1212554975705911296,"That would be ironic, bringing in thousands of illegals to vote illegally but who aren't officially even here, so they don't dare fill out the census form. The low population means fewer seats in Congress and AOC's district could be absorbed by another thus ending her puppet act.",2020-01-01
TWITTER_7_1212554340659007488,"Illegals are already counted in the census, so Im not sure if you were trying to be snarky about including a question about citizenship or not.",2020-01-01
TWITTER_2_1212545711868432384,"Illegals are criminals. They should get nothing and especially should not be counted in the census for apportionment or be allowed to vote, except in their home country.",2020-01-01
TWITTER_2_1212545107032805378,"Gimme a break and re-read it. I am NOT discouraging people from the census. Everyone needs to participate. Laws depend on it. But I know from personal experience people are scared to answer questions, especially with Trump's failed & illegal citizenship query.",2020-01-01
TWITTER_7_1212542267187171328,"While I'd love to see it happen she's already going out in her district, recruiting local census workers and getting out the ""it's ok to be illegal and take the census"" message. We need to stop counting illegals for rep purposes.",2020-01-01
TWITTER_7_1212540203820171264,There are so many people leaving the state that its in danger of losing a House seat. Thats why politicians want illegals counted in the census & to import as many as they can. Ive lived my entire years in this state and I can officially say it has become a literal hole!,2020-01-01
TWITTER_7_1212538536374816768,It reaches its limit when said states pursue the policy of encouraging the mass influx of illegal immigrants and the banning of citizenship questions on the census in order to get more seats in the House of Representatives.,2020-01-01
TWITTER_7_1212533652543787009,"You need to cop the fuck onLiars in Dail & MSM even say we'll be a minority by (or dead)Last census in , FOUR YEARS ago, didnt accurately record the number of immigrants here, already supposed to be % OUTRAGEOUSImmigrants, especially illegals don't like census forms",2020-01-01
TWITTER_7_1212531144312475650,The evil democrats would lose lots of seats if not for illegals that's why they didn't want the citizens ship question on the census.,2020-01-01
TWITTER_8_1212529503135682560,That's how they rig elections.Millions of Illegals are Registered Voters with a valid Dr LIc just like ours.That's why Dems want OPEN BORDERS.It's why removed Citizenship Question from the CensusIt's Why offering Free Healthcare to Illegals.No way to tell if legal,2020-01-01
TWITTER_7_1212528311353647104,Illegals should not be counted in the census for Congressional districting.AOC would not have a district if it weren't for illegals.thecity.nyc/2019/08/aoc-ma,2020-01-01
TWITTER_7_1212527671399374848,Do you think Illegal Immigrants should be counted as part of the census?,2020-01-01
TWITTER_7_1212527246432452608,How can this be true when the census does not distinguish illegal aliens from US citizens? Insisted on by Progressives.This article is BS.,2020-01-01
TWITTER_2_1212523868386021376,"As well it should, its against the law to count illegal aliens in the census. It cheats the rest of our country and gives CA an unfair democrat advantage in the House of Representatives.",2020-01-01
TWITTER_2_1212519837911543808,They have to remove every single ILLEGAL ALIEN from the census!!!,2020-01-01
TWITTER_7_1212517822024310784,"Make sure to ask if they're here illegally, taking US benefits and passing on diseases that Americans got under control years ago.Thanks!",2020-01-01
TWITTER_7_1212516055316336640,Census is counting everyone -no citizenship question on ! How about red pilling illegals- fixing immigration laws that offer sensible pathway to citizenship & require they abide by respect law&order. They too can choose to put,2020-01-01
TWITTER_8_1212515011525922816,I agree and on that note lets do census counting that identifies illegal aliens so that districting and the number of seats reflect citizens and not inflated numbers based on people who are not here legally.,2020-01-01
TWITTER_7_1212514524642861059,NY just issued illegal drivers licenses...get those records and deduct those totals from census count.,2020-01-01
TWITTER_8_1212512261102661632,"Can you explain what an illegal child is for me? % of people living in Gettysburg is WHITE. (see: Census)Less than people live there.10.9% Hispanic or Latino, % African American, % Asian, % all other.That must be a WHOLE lot of children",2020-01-01
TWITTER_7_1212503460781813760,"Dearest AOC,It's come to our attention that your district is /4 illegal. This is why you fought the citizenship question on census. You weren't serving America. Illegals don't deserve representation or funding. With all due respect (& no shade)... You're gonna have to go back",2020-01-01
TWITTER_7_1212502156088987648,"Good! I pray that none of the millions of illegals aliens in this state complete the census. They cant vote, so why should there been a Congressman representing their voice in Congress?",2020-01-01
TWITTER_8_1212498679816437764,"Blue states will pick up three seats due to illegal aliens being included in the Census, but will still lose seats overall",2020-01-01
TWITTER_8_1212497553331228674,The district AOC represents could potentially not exist following the Census due to the number of uncounted illegals living there. New York is expected to lose as many as two House via,2020-01-01
TWITTER_2_1212493917465272320,I pray Barr does cull out illegals from census. Will be right thing to do and require IDs to vote.,2020-01-01
TWITTER_8_1212491401549631488,"And that, ladies & gentlemen is why they can win areas saturated with illegals. Declare them on the census, reduce the number of reps basing solely on legal US citizenship, Voter ID w/deportation & revocation of any future citizenship!",2020-01-01
TWITTER_4_1212490974649147393,Why the census matters. Voter fraud is rampant with illegal aliens voting. WHAT A SHAME: AOC Could Lose Her House Seat After Through Elimination Of Her District via,2020-01-01
TWITTER_7_1212490559727771650,No sweets. All of you couldnt walk a thousand yards in LA without being assaulted.Open your eyes to reality about CA. There are many reasons that more people leave every year. CA is losing population so politicians want illegal aliens to boost numbers for the Census.,2020-01-01
TWITTER_8_1212488834501533696,"Dem strategy on illegal immigration. Keep border openCaravans etcCatch and release, attract to sanctuary cities (blue zones), Count EVERYONE in censusUse apportionment to gain new districts and house seats! All are counted in the census, even prisoners. PLEASE SHARE",2020-01-01
TWITTER_2_1212487833115668482,"Don't count illegals in the Census and they will lose or seats, as it is estimated that CA has % of all illegals in the U. S.",2020-01-01
TWITTER_2_1212487749397307393,"A new study shows that over % of the people living in AOC's Bronx, NY district are NOT American citizens & NOT eligible to vote.New York is expected to lose a US House seat after the Census, due to illegal immigrants, and AOC may lose her job!",2020-01-01
TWITTER_7_1212484098515709952,"Mr. President, I am concerned about voter ID (lack of) in this country and also the census done without the legal status. Both of these things PROMOTE foreign interference in our elections and allow illegals to make decisions for our country. What are we doing about it???",2020-01-01
TWITTER_4_1212483638195044354,....not if can make sure illegals are counted in the census. : AOC Could Lose Her House Seat After Through Elimination Of Her District via,2020-01-01
TWITTER_2_1212482743780749313,CA poised to gain to congressional seats due to census including illegals in head count. I call BS. No illegal should get or have a say in my tax dollars,2020-01-01
TWITTER_7_1212480887490789378,PRIME REASON THE LEFT DOESN'T WANT THE CENSUS ! THEY DON'T WANT ILLEGALS EXPOSED,2020-01-01
TWITTER_7_1212478754792054786,Maybe Patriots should shitcan the Census to balance out the illegals filling it out.,2020-01-01
TWITTER_7_1212471033665593349,And then we do not count the illegals in the census? This is way past time to investigate. Wtf is going on?????,2020-01-01
TWITTER_7_1212468161603354625,So basically she is trying to make sure brown census takers are hired so timid illegals wont be afraid?Do I have that right?Hey!Bartender!I need a drink!,2020-01-01
TWITTER_2_1212465656274120705,"""This has been on AOCs radar, and in August she began encouraging her constituents (25% of which are illegal aliens) to partake in the",2020-01-01
TWITTER_4_1212464074434457602,Libs losing political clout ~ Could drop seats ~ IF~Trumps proposal to add a question to the Census asking respondents if they are US citizensBottom Line:Libs need the dead & illegals to win. via,2020-01-01
TWITTER_7_1212599173167665152,Pelosi wants all illegals to vote for her! Thats why Trump was arguing all have to be on the census and she argued to remove that question! She is fuxing up big time!,2020-01-02
TWITTER_7_1212597760077127680,How much do illegal immigrants cost the US in social programs alone? How much was the US paying out pre-1900? How many millions or billions of impoverished undocumented immigrants from around the world can the US sustain?,2020-01-02
TWITTER_8_1212596815490637824,That Census bureau PuertoRico will have too with the same question in English Are you a Us citizen or not ? For those Illegal Dominicans in my state okay they will be deported back to Dominican Republic,2020-01-02
TWITTER_2_1212595234221232128,DOJ could announce they will be deporting all illegals who fill out a census sheet. May make them think twice if there is skin in the game.,2020-01-02
TWITTER_2_1212593975720370176,AOC Tells Illegals To Fill Out Census Or She'll Lose House Seat,2020-01-02
TWITTER_2_1212590737264648193,Every illegal alien counted in the census DISENFRANCHISES equal amount of Citizens,2020-01-02
TWITTER_2_1212588721196941312,This is why the Dems want illegals and no citizenship question on the Census. The ONLY way anyone will vote for them.,2020-01-02
TWITTER_7_1212587778682155008,"Jim, your article has a mistake and its a big one. And it explains the dems entire approach to Illegal immigration.Drivers licences, free college, free health care sanctuaries etc. EVERYONE is counted in the census, citizens and non citizens, even prisoners. Link in next...",2020-01-02
TWITTER_7_1212586986629976066,"Her district is % illegals, which means she most likely will have no district next year to represent after the census. She knows this, but still wants you to give her $$.",2020-01-02
TWITTER_7_1212584472119521280,Ironically the illegal immigrants she advocates for may very well eliminate her seat in Congress per the census,2020-01-02
TWITTER_7_1212584348903329792,"million illegal immigrants (some Russian) not paying taxes and getting government entitlements could alter Social Security benefits, severelyimpact medical costs, and alter the popular vote of any election.",2020-01-02
TWITTER_7_1212822697069236229,IF there is ONE illegal hired the entire mgmt of the Census should be brought up on charges....DEMAND to see the iverify,2020-01-02
TWITTER_7_1212821669439582214,AND it is ILLEGAL to hire them. Let's go arrest those at the census,2020-01-02
TWITTER_7_1212814728172621825,Will the bureau disregaurd all illegals trying to pose as Americans?,2020-01-02
TWITTER_8_1212812600397971457,"Good! Illegals shouldnt be counted in the Census,Only American Citizens! Thats what Democrats are counting on,so they will vote and also change Districts and or increase them to Democratic to try increase Dem House Members!Thats what I call Foreign Voters interference!",2020-01-02
TWITTER_2_1212810479367839745,"A new study shows that over % of the people living in AOC's Bronx, NY district are NOT American citizens & NOT eligible to vote. How many voted for her in ?NY is expected to lose a US House seat after the Census, due to illegal immigrants, and AOC may lose her job!",2020-01-02
TWITTER_7_1212810125288849410,"Demand voter ID's.As for voter fraud.By counting illegal immigrants in the census, without identifying them as non-citizens, elections are being ""rigged""The census adds or subtracts from the number of Congress people a state is allowed, as well as electoral college votes.",2020-01-02
TWITTER_7_1212807505325252610,"There is only one reason their doing this... to entice illegals to register so the state can boost their census numbers for house representation.They know this will increase head counts.They dont care about how they drive, the accidents it will cause or the lack of insurance",2020-01-02
TWITTER_7_1212806791320485888,"He was nothing more then a mouth piece advertising how California would love open borders, support illegal immigration & care more for those who break laws to get here over those who are citizens & pay their taxes in hope's to bring more bodies to help the census numbers!",2020-01-02
TWITTER_7_1212804277531365376,This is a wrong way to handle the census! People in prison have had their rights suspended due to their crimes--that is proper as part of the penalties. But counting prisoners as voters would be like allowing illegals to count as citizens!,2020-01-02
TWITTER_7_1212803285419053056,Illegals are counted in the US census. More people = more seats for that state in the House and Senate. Some cities and counties are altrady allowing illegals to vote in local elections. Its crazy to think they're not illegally voting in national elections too.,2020-01-02
TWITTER_7_1212803072751259648,"People dont get to ignore our laws with impunity. California picking up extra seats due to it's illegal immigrant population in this coming census is unacceptable. Some twitter ""dumbass"" calling border enforcement ""bigotry"" means nothing.",2020-01-02
TWITTER_7_1212792602099011584,Remove all those illegal immigrants that are voting. Also they must not be counted in our Census! They are falsely inflating to increase State seats & Federal Funding!!,2020-01-02
TWITTER_8_1212791412883939330,Tells Illegals To Fill Out Census Or She'll Lose House Seat via,2020-01-02
TWITTER_2_1212788910193025031,"Highlight => AOC began encouraging her constituents (25% of which are illegal aliens) to partake in the Census. Thats unlikely to work, and AOC is unlikely to be able to defeat an incumbent. As a poll conducted by Quinnipiac found, she polls at a net negative.",2020-01-02
TWITTER_7_1212787978923388933,Good. His run was in no way about Winning the nomination.He was protecting illegal immigrants so he could bring more bodies to California. He was a verbal billboard for the Dem Party to help with the Census. Same as Booker for NJ.That's why all the rhetoric about immigrants!,2020-01-02
TWITTER_4_1212787293154631681,"tells it like it is. Communist Democrats HATE legal US citizens and could care less about homeless legal citizens.. ""AOC Tells Illegals To Fill Out Census Or She'll Lose House Seat"" on YouTube",2020-01-02
TWITTER_7_1212779783408537600,No not really. Census numbers way off in her district.. Seat will go awayNumber of illegal aliens living there Very high... I would be more concernedAbout why sugar cane and pineappleIs not grown on the islands anymoreOr even sugar beats..,2020-01-02
TWITTER_7_1212777393603014658,"It is unlikely that religion specific data from Census will provide correct estimates of so called 'illegal immigration', given the factor that we don't have reliable estimates of religion specific natural growth rates and internal migration.",2020-01-02
TWITTER_7_1212771368351227904,".) Um, no. XD That's just wrong.2.) They also pay disproportionate taxes, even in our progressive system. .) No, those illegals are direct symptoms of sanctuary cities and a effort on Democrats behalf to stack representation, which is why they push to extend the census to-",2020-01-02
