UniversalMessageId,Message,Day
TWITTER_8_1224405049079668736,"We combined census and campaign finance data and found which Democratic candidates had the greatest appeal to certain communities of donors. For example, donors in the highest-income neighborhoods preferred Amy Klobuchar, Pete Buttigieg, Joe Biden.",2020-02-03
TWITTER_7_1224546699500191744,"Biden's wife came to our town library, Indianola, Iowa. She demanded the flags be removed. The library refused so her staff removed them before she would begin. Who does this?",2020-02-04
TWITTER_8_1224864705904181248,"of the precincts in Iowa that were >1/3 Hispanic adult pop as of the last Census have reported. Pooling their results, the first expression results wereanders: %Biden and Warren (tie): %Buttigieg: %Yang: %Klobuchar: %Steyer and Uncommitted: vote",2020-02-04
TWITTER_7_1225182975526129665,"Census Bureau -Real median household income earned by those in the very middle hit $65,084 for the months ending in July. Thats the highest level ever and a gain of $4,144, or %, since Mr. Trump took office. By comparison, during years under Obama/Biden",2020-02-05
TWITTER_7_1225096178494332929,Why talk about him maybe cheating come November? The cheating never stopped. The SOTU was % reelection disinfo. Biden investigations. Crowdstrike. Zero election security legislation. The census question. Prisoner fines for votes. 's of fake FB ads. Trollbots pushing Bernie,2020-02-05
TWITTER_8_1225616093076652032,An election is almost never a revolution. It's a slow pushing of the overton window and policies that are a little better or a little worse for a while. It's judges and censuses and holidays.Biden winning would be one step left. Bernie would be three.,2020-02-06
TWITTER_2_1225580708909010954,"Aside from now openly withholding Ukraine aid, investigating Hunter Biden and banning New Yorkers from expedited passport clearance, we should expect post-acquittal Trump to do whatever the heck he wants with the census.",2020-02-06
TWITTER_8_1225499484513296384,"Irony is Joe Biden taken out by the impeachment, based on the allegation that Trump withheld aid to take Biden out. Now blacks and independents are walking away from the democrats as they seek to pad census counts in favor of power even if it means throwing poor Americans aside.",2020-02-06
TWITTER_2_1225864367540965376,"Jan , - ""Hunter Biden is paid over $83,000 a month, while the average American family of four during that time, each year, made less than $54,000, and that's according to U.S. Census Bureau during that time,"" said Pam Bondi.",2020-02-07
TWITTER_2_1225752182953103360,"Also even if the nominee is Biden or Pete or whoever and you refuse to vote for them cuz you're , PLEASE vote for congressional seats2020 is the census and determines the next decade of House representation, this is a *crucial* one",2020-02-07
TWITTER_2_1225996732225478656,If you think you got a lot of blacks...Joe Biden has got twice the blacks you do? WTF is this the Mississippi census? Bad look.,2020-02-08
TWITTER_7_1226178380992638977,"CA polls are not just online. The Berkeley/KQED, the Latino Families poll was done by canvassing adjacent with census & a handful of others are done via phone. CA is the most progressive state in the nationNevada is closebut Biden is collapsing & Bernies ground game there is",2020-02-08
TWITTER_7_1226694335133036544,I have no faith any any polls or primary census.. Biden has the character to drown out all the crap trump throws. It's early in the year.,2020-02-09
TWITTER_7_1226960610266681345,Quinnipiac poll Feb -9:Bloomberg beats Trump -42Sanders beats Trump -43Biden beats Trump -43Klobuchar beats Trump -43Warren beats Trump -44Buttigieg beats Trump -43,2020-02-10
TWITTER_7_1227327075566194689,"Just heard news piece about how /2 of Latinx community believes citizenship? will be on census. They wont participate, Trump still hurts our communities tho court went against him. Same with Biden, hes smeared to hell&back with no proof, in fact anti-proof. We have to stop .",2020-02-11
TWITTER_7_1227666066073161734,"Then here comes Biden the New leading candidate. Heres why- Census data: Sumter SC, the th largest city in SC, has African Americans. The entire state of New Hampshire? .",2020-02-12
TWITTER_7_1228489066938691584,Make it k a month and Hunter Biden might think about it.,2020-02-14
TWITTER_7_1228794621825695744,"Apparently every thing Biden and Obama did ""was mistake"" according to Biden",2020-02-15
TWITTER_7_1229910857921884162,"Biden gives us the best candidate to beat trump in the swing states while also boosting down ballot Dems to keep the House, Flip the Senate Blue, and take more State Legislatures/Governorships before the next Census.",2020-02-18
TWITTER_8_1229843227898982403,"More cheats to keep Putin Agent Trump in our WH: GOP canceled their primaries so their base can cross-vote as Dem's for Bernie & Pete, to bury Biden & Warren; GOP sending out false census doc's to scare minority voters into not getting counted--helps state GOP gerrymandering.",2020-02-18
TWITTER_7_1230163271136825345,"Is he that progressive? He has no financial reforms, most missed votes, voted against stopping Wilbur Ross over citizenship question. Voted against background checks, against holding gun manufacturers liable, but sure let's talk about Biden voting for Iraq war in .",2020-02-19
TWITTER_2_1230231930572025862,Pete would run just like Bloomberg if he could.He doesn't have the Biden or Obama clips to fake support.I suppose he could slap his name on footage fom the ads.Wouldn't be the first couple hundred times.,2020-02-19
TWITTER_7_1230377480277516288,"I think coattails are important, both for the Senate and state houses that control Census redistricting. I suspect a Sanders won't do as well as Amy or Biden, and think either will sign whatever anything progressive that gets through the Senate passes. But we'll see.",2020-02-20
TWITTER_7_1231294647474978817,"Also, I saw a map of the US that was color-coded by which candidate had the most donations by census tract (pre-Iowa) and the DMV area was one of the only major Pete/Warren areas. Considering the Obama alumni (*cough*Biden*cough*) and the long-time senators, thats a win!",2020-02-22
TWITTER_2_1231419662698778625,"Still filling in but FWIW Biden did well in the northern Las Vegas caucus locations in plurality/majority African American areas. Always some risk of ecological fallacy but in keeping w/entrance poll.(On left, DRA map of % AA in census, right NYT map that's filling in.)",2020-02-22
TWITTER_8_1231373166632525824,"Joe Biden doesn't send out Fake Census mailers in an attempt to trick voters and ask for donations, like the crooked",2020-02-22
TWITTER_8_1231611653893980160,"Listen to the media already on Sanders, the Socialist who honeymooned in Russia. This will get repeated and amplified a million times. We wont take the senate, lose the courts and its census year. $5 to Biden today.",2020-02-23
TWITTER_2_1231594097581883393,"Census numbers on Nevada voting-age population. Caucus results are ""mountain out of a mole hill"" underwhelminganders % Biden %Buttigieg %Warren %Klobuchar %60.37%* of precincts reporting",2020-02-23
TWITTER_7_1231479763446980608,Biden or Bust!I just feel it is extremely unfortunate they picked a census year to put a self-proclaimed socialist on the path to a major party nomination. They have extremely short memories - give the Republicans a wave during a census year again?!,2020-02-23
TWITTER_7_1232013877753282560,Except REPUBLICANS are voting for Biden. Cheaters!,2020-02-24
TWITTER_2_1231911373602340864,"tRump has preempted the census, because of the Citizenship? He made sure his team Spit in Joe Bidens soup during Senate Trial...he plants dangerous seeds of doubt, as he intends Pure Evil",2020-02-24
TWITTER_7_1232120939023745025,"*in the Census... we suspect there'll be differences in places but we can't time travel to tell you Census results.Also, Warren's best AD was % in AD29 (Cohen) and Steyer's best AD was % in AD6 (which was a best for Biden and a worst for Pete)",2020-02-24
TWITTER_7_1232042516851175425,"Maybe you should be blaming Obama/Biden for their useless bailouts & shovel ready jobs!That was on their watch! Detroits problems are more complicated then you let on! Almost every mayor,from its creation,has been corrupt to one degree or another! Census isnt accurate either!",2020-02-24
TWITTER_4_1232385979169857537,AFRICAN AMERICANS WAKE UP TO THE FACTS!!! CHECK THEM OUT IF YOU DO NOT BELIEVE WHAT I AM TELLING YOU! THE LAST CENSUS (2018) REVEALED AFRICAN AMERICAN/OTHER BLACK USA CITIZENS. DEMOCRAT LEADERS (YES HILLARY AND BIDEN AND ALL DEM CANDIDATES FOR POTUS),2020-02-25
TWITTER_7_1232379281872998400,Good luck on your Senate seat Joe Biden when he comes to his census and knows what he's running for you just can't trust this man to Confused by far,2020-02-25
TWITTER_7_1232511873863634946,"According to Biden, million Americans have been killed by gun violence since .Apparently, the census data was a little off. But it would further explain why tv ratings are so low for MSM and these circus-like debates.",2020-02-25
TWITTER_7_1232507325648396288,"Biden is a mess, cognitively unable to lead, yet no one is reporting.",2020-02-25
TWITTER_7_1232488720139341826,Vogel pounces on Biden for his comment on killing half the US,2020-02-25
TWITTER_7_1232488282732158976,"I just keep ""what the fucking"" all the Bs (Biden, Bernie, Bloomberg, & Buttigieg)",2020-02-25
TWITTER_7_1232486935618154496,Are you serious? Joe Biden will be a great president but you are terrible journalist (hello you got played by Trump on Ukraine).,2020-02-25
TWITTER_7_1232485998103130113,"GOOG CATCH! Ken. How astute! No one would have ever known that Joe Biden meant thousands, were it not for your keen, instant insight.",2020-02-25
TWITTER_7_1232485876971655168,"Well, if that ""typo of tongue"" was the biggest problem with Biden then probably he could have really been called a true (as opposed to fake) Dem. There are definitely much more serious things to unmask a Con wolf in Dem sheep's clothing than some purely unintended tech. slip-ups",2020-02-25
TWITTER_7_1232484999728754688,Biden is not mentally sound. He thinks hes running for the senate against another Biden. He keeps forgetting where hes at.,2020-02-25
TWITTER_7_1232397125050388481,"Also, census redistricting year. Another reason I worry about Sanders electoral/coattail downside, whereas Biden/Harris, if not most inspiring, would likely limit downside risk on state/local level.",2020-02-25
TWITTER_7_1232530000156426240,"I was wrong in that tweet. The context is pretty clear though and Im not even a Biden supporter. I dont want a president with any neurological, mental, or cardiovascular health issues though.",2020-02-26
TWITTER_7_1232527451403825152,One on stage was the other Biden he mentioned in that interview,2020-02-26
TWITTER_7_1232520132557201408,The Census will go lickety split because of Bernie per Biden.,2020-02-26
TWITTER_7_1232811635686793217,"Half of American population exterminated in . Where did all the American people go. Waite, the American Census data will Prove Biden facts about deaths from gun violence is a big fat LIE.",2020-02-26
TWITTER_7_1232727416805756929,"The youth vote turned out in already. At % rather than their usual %. If Biden is the nominee, they won't turn out. If Bernie us the nominee, they will. Likely at % or higher.",2020-02-26
TWITTER_7_1232699067014078464,according to the census there are almost mil people living in the US bur biden says half of that mil killed by guns the last years HA!,2020-02-26
TWITTER_2_1232698786155098112,"where does biden get his facts from?? mil people killed by guns since , census says in mil people in the US-",2020-02-26
TWITTER_2_1232686336777342976,The US has an estimated population of million people.Creeper Biden killed off million with guns!!!!I'll bet the US Census will make Senile Groper Joe look like the demented old fool he is......,2020-02-26
TWITTER_7_1232660713606438912,"According to Biden's gun death numbers and abortion...we should have a census of around million people plus million illegal immigrants...give or take a few million. Good grief. But, fake news said he did well.",2020-02-26
TWITTER_2_1232660164840493056,"So, according to Joe Biden, theres been million gun deaths in America?! Hmmm....seems like the perfect candidate to run the Census Bureau.",2020-02-26
TWITTER_8_1232546234834939907,Could happen & I could vote for Biden easier than Bernie. Too much fencing tonight--we need better focused ques.UkraineDeficit VetsHomelessSoc sec. Medicare and Medicaid.The ACA Wind & Solar.The Great Lakes. Climate refugeesCensusEtc.,2020-02-26
TWITTER_7_1232851985797386242,""" ""He's been doing that a lot in his Senate campaign against the other Biden.",2020-02-26
TWITTER_7_1232842866600431616,"You had to take money to endorse Joe Biden for Senate or President..With U.S. Census Bureau reporting population of million people in country in , Biden's figure would equate to approximately one half of current U.S. population being killed by gun violence since",2020-02-26
TWITTER_8_1232885863140544512,Isnt it funny how we dont hear about the impeachment anymore its like crickets- The whole system is fucked! Americans arent stupid just Democrats and liberals. Maybe Joe Biden has a census on them too - LOL,2020-02-27
TWITTER_7_1233118434059280393,One of the cited polls with Biden at almost double digits over Bernie had % of the poll respondents as seniors. Seniors in SC make up only % of the population as per .,2020-02-27
TWITTER_2_1233068849731440640,"The GOP is sending out fake census forms, and doctoring videos of Obama to attack Biden.",2020-02-27
TWITTER_7_1232932422561476609,"Clemson poll: % years and older.% + registered only %: Latinos polled %. Latino population, %: This poll is over-represents a Biden demographic.",2020-02-27
TWITTER_2_1233176137129320448,"OMG! Half of everyone you know has died! In Tuesday's debate Biden claimed ""150 million people have been killed since "" due to gun violence. The US census reported a population of million people so according to Biden almost /2 the U.S. population has died since",2020-02-27
TWITTER_7_1233138083052298240,"I have been trying to find a recording of Biden's statement but to no avail. Did he say MILLION people have been killed..."" or did he say Million Americans? If it were the latter, it would actually be less than % according to the Census Bureau...",2020-02-27
TWITTER_7_1233506655939235841,"I think Biden is going to win handily, but Latinos are undercounted in SC Census and a large amount of them have registered, with Chuck reaching out to them when no other campaign has. If Bernie pulls this off, remember this.",2020-02-28
TWITTER_7_1233437491602055169,"""150 million Americans were recently killed by firearms"" -Joe Biden-America has about million people from the recent census. So nearly half the population was murdered? Hahaha give me a break old man!",2020-02-28
TWITTER_7_1233940442892439553,"Biden stressing the Congress and state legislatures is ultra important. It's a Census year, and he also needs to flip the Senate. Need states. Need governors. Need wins. Need to pack some courts.",2020-02-29
TWITTER_2_1233916147684139008,"By the color of your face, I think you need to rethink what you check on your census. DUMPtrump. VOTE TRUE BLUE BIDEN AND UNITE THE USA",2020-02-29
TWITTER_8_1234152507787616257,"I based it off the census data and the voter information once it was100%. Biden won out of888,912 African Americans of the voting age. Voter ID laws,mass incarceration, polling locations relocating a just hours before voting begin, and disillusionment played a big role",2020-03-01
TWITTER_7_1234145506877677570,"won't impeach Biden over the Burisma situation, because they will control the House. The die is cast to increase Blue state House seats with the census counting all the illegals here waiting on asylum claims. Bill not only wants to regain power, he wants to make it",2020-03-01
TWITTER_7_1234124140778573826,"Theyll be the largest minority in November, surpassing black voters. They also skew younger than the rest of the population, like Biden supporters. The media will pay attention, especially if they show up to vote-but the GOP is making it harder, suppressing turnout and census.",2020-03-01
TWITTER_7_1234105789448695809,"The Census considers Delaware the South. It had divided loyalty in the Civil War. One of the Brown v Board cases was from Delaware. Also, Biden has vacationed in SC for decades and developed close ties with its state leaders.",2020-03-01
TWITTER_7_1234286668322082816,"No, they arent. Blacks people make up about % of the nation, Latinos %, and white people %. And thats according to the most recent numbers from the Census site that you can check yourself. Biden got a temporary save in SC. Thats it.",2020-03-01
TWITTER_2_1234219008007778306,Biden/Abrams. Ive said it for months. Stacey Abrams Is Building a New Kind of Political Machine in the South Rolling Stone,2020-03-01
TWITTER_2_1234217042942754819,"They should write a new Profiles in Courage book about all these pols who are finally endorsing Joe Biden. If I were him I would basically only offer them jobs at FEMA, HUD, and the Census Bureau as payback for being too big of betas to support him when he needed it. Sad!",2020-03-01
TWITTER_7_1234677096275800066,but state elections matter too - ESPECIALLY this year of the census because of the redistricting that'll be in effect to . The Dem loses in are still hurting us today. Sanders argues he'll make up for losing moderates by bringing in new voters (Biden did that in SC) /11,2020-03-02
TWITTER_7_1234639998521159680,Biden so far has only one deep red state that will go to Trump in the general anyway. I think Biden's unpopularity would hurt down-ballot races. Bernie would increase youth turnout. Trump's much more unpopular than the corporate media tries to pretend.,2020-03-02
TWITTER_7_1234629623465566208,"/ This is focused on young voters. If Biden is president, I'm doubtful you'll see as much energy from Democratic activists in . They matter so much for future party mobilization. Democrats can't relive the decade of loses they suffered over the",2020-03-02
TWITTER_7_1234606542768529408,"OK, Xer. ,According to the US Census Bureau, Trump, Biden and Sanders are not Boomers. Leave us out of this.",2020-03-02
TWITTER_7_1234598260452532224,"Yawn! Really? You think that tripe is a 'gotcha'? My goodness you're typical. F*ck the poors right? 'Nothing will fundamentally change - Biden'?You 'Democrats' need us to beat . If you don't think so, you really didn't learn from then.",2020-03-02
TWITTER_7_1234571288561307649,"I AM seeing the big pic, which is why Biden scares me to death. He is going to have to do some dramatic changes fast if he wants to appeal to the youth vote, who were the main factor to our taking back the House in .Agree about state houses and Census, btw!!",2020-03-02
TWITTER_7_1234570147098189824,"Biden is absolutely the best for down-ballot gains. This is also a Census year, so we have to take state houses as well. If we succeed, we are more likely to pass the kinds of bills you want to see. Don't fixate on Biden. See the big pic.",2020-03-02
TWITTER_7_1234564582615781378,"Hillary Rodham, who will be replacing Biden as the democratic candidate, opined in Children's Rights, a Legal Perspetive (1979) , that children need to have independent legal rights and status from their parents.Either way, I will continue to refuse the ACS long form census",2020-03-02
TWITTER_8_1234563547021135873,"If you want to keep the House, win the Senate and State Govts in a census/redistricting yearYou pick Biden.This is a red white and blue country,Ask any artist what that creates Purple (especially with white being in proper perspective )",2020-03-02
TWITTER_7_1234562025558138880,Whats your read comparing Bernie & Biden as top-of-the-ticket candidates as it relates to down-ticket races? This is huge with packed courts and a census year.,2020-03-02
TWITTER_8_1234537058124926979,I would so love to see Biden ask Stacey Abrams to be his running mate.,2020-03-02
TWITTER_7_1235030200787730432,"Whenever people start getting mad at black or poor voters, wonder if they cross referenced precinct with census data, whether the vote split and so on.Biden won, but those eager to be mad at group x tend to be those who make assumptions.",2020-03-03
TWITTER_7_1235009368539750400,"Lets not forget that trump also suppresses votes with rules changes, and the census fraud thats already going on.Im very concerned that Biden will be cheated, and I prefer Bernie. He would be cheated too. Trump is a criminal, so..",2020-03-03
TWITTER_7_1234982959964274688,If Biden isnt the nom and Bernie says he doesnt want the help - okay - I would hope Bloomberg pushes all his effort down ballot. Try to protect the House and win a Senate majority. State houses too given census / gerrymandering. If Bernie the nom they will need LOTS of help.,2020-03-03
TWITTER_4_1234980281972510727,On this our analysis of census data by and finds that demographics of potential voters on Super Tuesday likely to favor Sanders over Biden. Read the full analysis here:,2020-03-03
TWITTER_2_1234955059852693505,"The entire Middle Class owns a tiny fraction of the wealth Pfizer stocks represent, and according to the census bureau, that's just a single-digit share - including retirement plans & mutual funds. But, Middle Class suburban democrats will trot their butts out for Biden & Warren",2020-03-03
TWITTER_7_1234935212720693248,"Because of the population change recorded in the Census, this is supposed to be the first election in which Hispanic Votes exceed Black Votes. If Black Dems stick with Biden & Bernie wins with the Hispanic Dem vote, we lost all the political power we appeared to have...",2020-03-03
TWITTER_7_1234870339848613888,"I think that the answer to that question is almost certainly that she is fine with Biden getting the nod and all that implies (i.e. a massive loss to Trump and a bloodbath down-ballot going into a census, cementing Republican rule that transitions into a theocratic state).",2020-03-03
TWITTER_7_1234863556916584449,Biden in MA because I think he is best able to help us keep the house and add seats while hopefully regaining the Senate. I am also thinking about local politics. With census this year reapportionment coming and I want Dems in charge when that happens.,2020-03-03
TWITTER_2_1234833532050190336,"Good morning, Chicago. Here are some top stories to start your day:- Suspected coronavirus patient in Chicago could be th case in Illinois- LGBTQ people get some recognition in the census sort of- Moderates unite for Joe Biden for Super",2020-03-03
TWITTER_2_1234827283925434368,The fact that Biden and Buttigieg are considered moderates in the Democratic Party really says a lot about the direction of the party. How long can the Democratic Party withstand the leftward drift?,2020-03-03
TWITTER_2_1234816494409854977,"U.S. census figures estimate million households. In , Gallup found that % of American households reported owning guns. That means that the nations million guns are owned by million households. Another dumb move, Joe. .com/politics/biden",2020-03-03
TWITTER_7_1234804041416368129,"That seems to be the narrative lately, although I'd argue Sanders is Hillary this go around (as in his to lose). People are getting behind Biden because his candidacy is less risky on down ballot candidates. Since it's a census year Democrats need to win as many state houses as..",2020-03-03
TWITTER_2_1235052349023866880,"If there are down-ballots that can help flip the Senate, like here in , work your ass off for them. I will not be devoting much time and effort to either a Biden or Sanders candidacy.IT'S A CENSUS YEAR!! EVERY DOWN-BALLOT RACE MATTERS!",2020-03-04
TWITTER_7_1235394245118152704,"This combined with his incumbent power.And the census favoring red states.And what does the Democrats have? A man in the early phrases of dementia. Yeah, Trump is going to wipe the floor with Joe Biden",2020-03-04
TWITTER_8_1235394231222644737,"For context, -29 year olds also made up percent of the vote total in , up from % in : ... and that was a surge year of record youth turnout: ... Biden just had more voters overall.",2020-03-04
TWITTER_7_1235381194851786752,Okay but how will we get Trump out?He has incumbent power.The census is likely going to favor red states.And the perception of him is more positive then the Democratic Party in swing states.Joe Biden seems like hes in the early stages of dementia. Platitudes means nothing.,2020-03-04
TWITTER_7_1235377613876744194,"Dude, gfy.I'm uninsured. My stepdad is in the hospital recovering from triple bypass surgery.I'm going to be his nurse then work for the census then canvass for Democrats.Voted for Warren, wanted Kamala, love Beto. Biden gets my vote to flip the Senate & prevent -2 SCOTUS.",2020-03-04
TWITTER_8_1235369841151836160,"If Biden is the nominee, reasons for showing up are:1. Replacing RBG.2. Down ballot voting to take back state legislatures, the house, & the Senate during a census year . A return to politeness (I have zero faith that Biden will reverse much of Trumps deportation policies)",2020-03-04
TWITTER_8_1235367852422631424,"Beto because he would help most in Texas down ballot. I want to flip Texas blue for Biden, but also flip the state legislature too! Census and redistricting are coming up and we need to end this gerrymandering to have some real progress here and across the nation.",2020-03-04
TWITTER_2_1235367709371592704,I like Warren too but decisions must be made black people. We are out voted to one with white people to with Hispanics. Which according to our last census make upwards to % of the WHITE population. Biden or Warren people,2020-03-04
TWITTER_7_1235335945236418563,"This is from the census report on youth voting. Candidate needs to propose things that matter to youth (so not Biden), those things need to seem actionable in our current situation (so not Sanders), and the candidate as to be relatable (so not Sanders, Biden, or Warren).",2020-03-04
TWITTER_8_1235331110810333184,"Joe Biden won Alabama w % of vote: According to Census -year survey, median household income for AL was $48,123 in , the latest figures available. Compared to median US household income, Alabama median household income is $12,213 lower.--who's the 'elite', Ms Romney?",2020-03-04
TWITTER_7_1235317316621078529,Youre a clown. Census:54% South19% Midwest18% Northeast10% WestThe majority of African-Americans live in states: New York City and Chicago are cities with largest black populationsBiden got % of black votes in the south no FL or GA = approx. % of all black,2020-03-04
TWITTER_7_1235308800619483136,Its funny how Bernie is sexist despite not being demonstrably sexist in any way but Warren & Biden arent racist because reasons and Biden isnt LITERALLY known to be a sexist creep censuses reasons,2020-03-04
TWITTER_7_1235262128610664448,welcome to and the door is open to any supporter willing to joinif Biden is nominated he will lose and losing a census election means losing power for another decade +,2020-03-04
TWITTER_7_1235255814392352768,"The Obama-esque rhetoric did not work for Clinton, it will not work for Biden. On that note, please fill out the Census and lets end gerrymandering because if we dont do that, elections will continue to be decided not by the people but by the special interests.",2020-03-04
